Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Noreste,Distrito 1,A918,CITADINA SLP,CARR CARRETERA SAN LUIS POTOSI - MATEHUALA,Soledad De Graciano Sánchez Centro,Soledad de Graciano Sánchez,San Luis Potosí,Soledad de Graciano Sánchez,78430,48.8,42.0,4.8,Enero,22.297055450000002,-100.86719560926427
Coppel,Sur,Distrito 5,A699,COPPEL ACAYUCAN,CARR COATZACOALCOS A SALINA CRUZ KM. 62/480,Oluta,Oluta,Veracruz de Ignacio de la Llave,Oluta,96160,-53.2,-39.5,-22.6,Enero,17.895933749999998,-94.90486831025073
Coppel,Sur,Distrito 5,A641,COPPEL 5 DE FEBRESO (SAN ANDRES TUXTLA),CARR COSTERA DEL GOLFO,San Pedro,San Andrés Tuxtla,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,95730,-27.2,2.5,-29.0,Enero,18.4633672,-95.19831533920046
Devlyn,Centro,Distrito 2,B140,PLAZA CENTELLA,CARR CUAUTITLAN TULTEPEC,Dos Ríos Primera Sección,Cuautitlán,Estado de México,Cuautitlán,54850,71.2,28.4,33.3,Enero,19.705518249999997,-99.16662568774402
Devlyn,Metropolitana,Distrito 1,B003,CC EL CORTIJO IXTAPALUCA,CARR FEDERAL MEXICO-CUAUTLAKM 37,Santa Bárbara,Ixtapaluca,Estado de México,Ixtapaluca,56538,7.4,4.5,2.7,Enero,19.32929,-98.80827450406431
Sears,Sur,Distrito 6,B303,SEARS PLAZA LAS AMERICAS XALAPA,CARR FEDERAL XALAPA-VERACRUZ KM 2.5,Rubí Ánimas,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91193,14.1,11.9,2.0,Enero,19.5408338,-96.9146374
Devlyn,Sur,Distrito 6,A763,PLAZA LAS AMERICAS XALAPA,CARR FEDERAL XALAPA-VERACRUZ KM 25,Villa Animas,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91198,27.8,39.1,-8.1,Enero,19.5408338,-96.9146374
Devlyn,Centro,Distrito 2,B744,DEVLYN HUEHUETOCA,CARR JOROBAS-TULA,Huehuetoca,Huehuetoca,Estado de México,Tezoyuca,54680,-0.2,-7.7,8.1,Enero,19.5902244,-98.9079359
Devlyn,Metropolitana,Distrito 2,B816,GALERIAS TLAXCALA,CARR LIBRAMIENTO,San Sebastián Atlahapa,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90111,13.2,8.9,3.9,Enero,19.3167101,-98.2386138
Devlyn,Noreste,Distrito 4,B139,PLAZA PERIFERICO,CARR LIBRE MONTERREY-REYNOSA,Valle Verde,Reynosa,Tamaulipas,Reynosa,88720,24.9,6.3,17.5,Enero,26.0907673,-98.2788191
Devlyn,Noroeste,Distrito 1,B730,TIJUANA SENDERO,CARR LIBRE TIJUANA,Fideicomiso el Florido,Tijuana,Baja California,Tijuana,22245,4.4,39.6,-25.2,Enero,32.5317397,-117.019529
Devlyn,Noroeste,Distrito 1,B489,SUPERCENTER PABELLON GRAND,CARR LIBRE TIJUANA,Lepro,Playas de Rosarito,Baja California,Playas de Rosarito,22704,3.1,-12.0,17.1,Enero,32.365166,-117.0557923
Devlyn,Noreste,Distrito 5,A897,SENDERO SALTILLO,CARR LOS GONZALEZ,Valle de Santa Elena,Saltillo,Coahuila de Zaragoza,Saltillo,25023,-41.6,-35.8,-8.9,Enero,25.4230425,-100.9927509
Coppel,Noreste,Distrito 2,A592,Coppel Cd Valles,CARR MEXICO LAREDO,San Luis Poniente,Ciudad Valles,San Luis Potosí,Ciudad Valles,79082,59.9,-7.1,72.2,Enero,22.075792399999997,-99.07337577278943
Devlyn,Centro,Distrito 2,B898,POWER CENTER TECAMAC,CARR MEXICO PACHUCA KM 36.5,Ampliación 5 de Mayo,Tecámac,Estado de México,Tecámac de Felipe Villanueva,55749,-18.7,-21.7,3.8,Enero,19.7115011,-98.968354
Sears,Sur,Distrito 6,B302,SEARS ALUMINIO,CARR MEXICO-JALAPA KM 4353,Valle Alto,Veracruz,Veracruz de Ignacio de la Llave,Veracruz,91697,-4.2,9.3,-12.3,Enero,19.2003429,-96.1383572
Devlyn,Metropolitana,Distrito 5,B021,OUTLET LERMA,CARR MEXICO-TOLUCA KM,Lerma de Villada Centro,Lerma,Estado de México,Tezoyuca,52000,97.7,54.2,28.2,Enero,19.5902244,-98.9079359
